Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
HI_24hpi_2_R1 - polya	(1, 0.0016139418553049831)	(2, 0.0030840051731215374)	(3, 0.004066132581194725)	(4, 0.005004470869162738)	(5, 0.005861486505506857)	(6, 0.006674713021745802)	(7, 0.0076693516069918964)	(8, 0.009890085555182861)	(9, 0.012899023665266959)	(10, 0.015654610437599692)	(12, 0.017540670396415395)	(14, 0.019836471407643802)	(16, 0.021957115938451514)	(18, 0.024043354732033728)	(20, 0.025516545844143514)	(22, 0.02727749403123015)	(24, 0.02895399177239967)	(26, 0.030499122153253663)	(28, 0.03223504798599448)	(30, 0.03362691644648037)	(32, 0.03502191270125948)	(34, 0.036301180567189215)	(36, 0.037649259907569926)	(38, 0.03900359483653709)	(40, 0.040282862702466816)	(42, 0.04157464174556945)	(44, 0.04287893196584499)	(46, 0.044080004974444045)	(48, 0.04535927284037377)	(50, 0.04635703921991309)	(52, 0.04745176722254244)	(54, 0.048746674059938294)	(56, 0.049938363685657676)	(58, 0.05122701493446708)	(60, 0.052878490321290786)	(62, 0.05437670378774638)	(64, 0.055274380749902444)	(66, 0.05626589154085531)	(68, 0.05742004763505597)	(70, 0.05866803755805343)	(72, 0.06010369513864448)	(74, 0.06327215075768314)	(76, 0.0675415899679376)	(78, 0.07064123411252528)	(80, 0.07405052989214239)	(82, 0.07750361479186468)	(84, 0.08057510878781331)	(86, 0.08375607558402487)	(88, 0.08688074208295837)	(90, 0.0899303415188544)	(92, 0.09312381949223889)	(94, 0.09622033584253332)	(96, 0.0996734207422556)	(98, 0.10295760475014365)	(100, 0.10608539904337037)	(102, 0.10911623171350705)	(104, 0.11219398129804214)	(106, 0.1208673548731598)	(108, 0.12396074342916102)	(110, 0.1268289307960499)	(112, 0.12971588492869818)	(114, 0.13218684242034728)
HI_24hpi_2_R2 - polya	(1, 0.004616624376802626)	(2, 0.00838874429443404)	(3, 0.010421810585031402)	(4, 0.012267209218035162)	(5, 0.013687227827160088)	(6, 0.014975879075969494)	(7, 0.016295808267711168)	(8, 0.01926721284627654)	(9, 0.023383390136162894)	(10, 0.026845858418764863)	(12, 0.029923608003299948)	(14, 0.03388026778423174)	(16, 0.03710502370054848)	(18, 0.04042048565136879)	(20, 0.04360458024187358)	(22, 0.04644148966583021)	(24, 0.04923148217538843)	(26, 0.052099669542277335)	(28, 0.05514301338958692)	(30, 0.05795490045919774)	(32, 0.06069797605435756)	(34, 0.06330968428920186)	(36, 0.06625606651342142)	(38, 0.06880834665669443)	(40, 0.0715107609260423)	(42, 0.07410370239512724)	(44, 0.07649646502944568)	(46, 0.07920200709308678)	(48, 0.08195759386541952)	(50, 0.08458181327743673)	(52, 0.08746563961579176)	(54, 0.09043078860577068)	(56, 0.09353043275035836)	(58, 0.09667699380934441)	(60, 0.10012069532618703)	(62, 0.10430881188481761)	(64, 0.10857199550648561)	(66, 0.11254429425888353)	(68, 0.11720783555008454)	(70, 0.12171811492091747)	(72, 0.1265317903381934)	(74, 0.13154877238452903)	(76, 0.13695985651181125)	(78, 0.1421551228328608)	(80, 0.14715959370202353)	(82, 0.15257067782930578)	(84, 0.15738435324658168)	(86, 0.16238569632145117)	(88, 0.1673870393963207)	(90, 0.1724352993855886)	(92, 0.17736157539742067)	(94, 0.18258499186710928)	(96, 0.18786783642836918)	(98, 0.19331645408717013)	(100, 0.19797061199549149)	(102, 0.20272173152690287)	(104, 0.20764487974444168)	(106, 0.21226463191553754)	(108, 0.216631032748882)	(110, 0.22094426107924167)	(112, 0.22534819544410487)	(114, 0.22867929636639134)
HI_24hpi_3_R2 - polya	(1, 0.0035296867297784367)	(2, 0.006436011353609765)	(3, 0.007957986365532577)	(4, 0.009293762306847812)	(5, 0.010500008459914296)	(6, 0.011479577483545467)	(7, 0.012612963130722028)	(8, 0.014952594930965075)	(9, 0.017777963437140935)	(10, 0.0207085748962689)	(12, 0.02310892378475355)	(14, 0.025788571279149568)	(16, 0.0282213026146964)	(18, 0.030605460279649957)	(20, 0.032681984697512725)	(22, 0.03479898717420324)	(24, 0.03663669104498238)	(26, 0.03849868175105815)	(28, 0.040445676380672174)	(30, 0.042182185104381986)	(32, 0.04409274948105105)	(34, 0.04591426212829909)	(36, 0.04788959139909253)	(38, 0.049707056240457806)	(40, 0.05124927028179448)	(42, 0.05335817714671945)	(44, 0.05524445468809186)	(46, 0.05742217425302397)	(48, 0.05955941575912835)	(50, 0.06142950207696968)	(52, 0.06338864012423201)	(54, 0.0656473158068196)	(56, 0.0681002861717803)	(58, 0.07025776670729854)	(60, 0.07283621905462523)	(62, 0.0759004081078847)	(64, 0.07898888399644086)	(66, 0.08186282617320999)	(68, 0.0852265528617947)	(70, 0.08837979364447521)	(72, 0.09169494666246666)	(74, 0.09550797980403924)	(76, 0.09947887737503999)	(78, 0.10351453984016509)	(80, 0.1076756842876562)	(82, 0.11154133890570483)	(84, 0.11539080230022236)	(86, 0.1190297797888357)	(88, 0.12273352217157338)	(90, 0.1267408499955191)	(92, 0.13070769976063706)	(94, 0.13464621488457562)	(96, 0.13862925587322467)	(98, 0.14264872711481869)	(100, 0.1462269875151904)	(102, 0.1498821562273348)	(104, 0.1534644644335893)	(106, 0.15691319504571227)	(108, 0.16022834806370373)	(110, 0.1636487440346473)	(112, 0.16666031161143072)	(114, 0.1690687561116809)
HI_48hpi_1_R2 - polya	(1, 0.005046289255795217)	(2, 0.008763951056109123)	(3, 0.011003280898915653)	(4, 0.012674981171540027)	(5, 0.014209452317307174)	(6, 0.015644120461723615)	(7, 0.017147403169568667)	(8, 0.020303673087284837)	(9, 0.02482599658598883)	(10, 0.02849375688562738)	(12, 0.03141611351892783)	(14, 0.03495912006687799)	(16, 0.038053013108749964)	(18, 0.04116561921337519)	(20, 0.04377297262366246)	(22, 0.04639592025291078)	(24, 0.048616537032964056)	(26, 0.051155275879822715)	(28, 0.05359733056912287)	(30, 0.055852254630890455)	(32, 0.058300547007775025)	(34, 0.06028413165962037)	(36, 0.06241430196969956)	(38, 0.06480333631453215)	(40, 0.06706449806388415)	(42, 0.06938491784528814)	(44, 0.07151508815536733)	(46, 0.07365149615303093)	(48, 0.07595320287168167)	(50, 0.07821748346482586)	(52, 0.08035077261869727)	(54, 0.08271485621319219)	(56, 0.08531597193589505)	(58, 0.0879545137841044)	(60, 0.0908332066043139)	(62, 0.0943543812457186)	(64, 0.09810323148395461)	(66, 0.10150900890504755)	(68, 0.10558221889767336)	(70, 0.10964607235892254)	(72, 0.1136381924129509)	(74, 0.11811685209856394)	(76, 0.12262981906589132)	(78, 0.12703674534428355)	(80, 0.13208303460007875)	(82, 0.13709501657415968)	(84, 0.14177951995005858)	(86, 0.14622387235395734)	(88, 0.1508023350409211)	(90, 0.15528723241411857)	(92, 0.15994990388347202)	(94, 0.1645346042580202)	(96, 0.16954970507589334)	(98, 0.174870452585403)	(100, 0.17948946024166548)	(102, 0.1839837141462396)	(104, 0.1885185130201124)	(106, 0.19273830867097208)	(108, 0.1968395882577278)	(110, 0.20115606806614594)	(112, 0.20519185193326522)	(114, 0.20826391306859174)
HI_48hpi_2_R2 - polya	(1, 0.005019044879686661)	(2, 0.008066602647008139)	(3, 0.009802453849528877)	(4, 0.011200560247939246)	(5, 0.012543684934052578)	(6, 0.013949645862791096)	(7, 0.015057134639059982)	(8, 0.017523457162098497)	(9, 0.020735960066311086)	(10, 0.023822790485273304)	(12, 0.026426567289054414)	(14, 0.02920314376005478)	(16, 0.03183441141998441)	(18, 0.034410697367616996)	(20, 0.036857383564835144)	(22, 0.03907236111737292)	(24, 0.041173447980152544)	(26, 0.0431645714183381)	(28, 0.045399185296696246)	(30, 0.04735496334840513)	(32, 0.04940106849888772)	(34, 0.05130579210346364)	(36, 0.05348542426952475)	(38, 0.05567291096591401)	(40, 0.05785647039713919)	(42, 0.060012538972215854)	(44, 0.06201544420589363)	(46, 0.0640654766215403)	(48, 0.06624118152243733)	(50, 0.06820088683931029)	(52, 0.07033339182340251)	(54, 0.07261120561856547)	(56, 0.07496363745184584)	(58, 0.07720610586053213)	(60, 0.07949570145118731)	(62, 0.08275925880253288)	(64, 0.08595605264608916)	(66, 0.0890703739211999)	(68, 0.0927030941979684)	(70, 0.09624156011079915)	(72, 0.09993318936502876)	(74, 0.10371907298319617)	(76, 0.10797622842105246)	(78, 0.11229622010153395)	(80, 0.11634130322053024)	(82, 0.12048849523379246)	(84, 0.12451394202696837)	(86, 0.12873967934351205)	(88, 0.1329418530690713)	(90, 0.1371872267114354)	(92, 0.14132656419436945)	(94, 0.1454423380863191)	(96, 0.1500725837147624)	(98, 0.15478922917681537)	(100, 0.1586183127117876)	(102, 0.16268303215660423)	(104, 0.16635895235017759)	(106, 0.16981494569456276)	(108, 0.17336126613772165)	(110, 0.17670336879234866)	(112, 0.18015150760640572)	(114, 0.18294772040322646)
HI_48hpi_3_R2 - polya	(1, 0.001958083706151435)	(2, 0.0036861702785644474)	(3, 0.004637239507266573)	(4, 0.005731279927211502)	(5, 0.006564242519669573)	(6, 0.00763963452336544)	(7, 0.008808268608306614)	(8, 0.011338237079429261)	(9, 0.015080352606740892)	(10, 0.017576132314740263)	(12, 0.01964299844901122)	(14, 0.022005131173892314)	(16, 0.024333075135650133)	(18, 0.0266858836524067)	(20, 0.028842883798548123)	(22, 0.03093772255719267)	(24, 0.03284296908397177)	(26, 0.03484145769199617)	(28, 0.03712278061313133)	(30, 0.03888505594866762)	(32, 0.04085246386294358)	(34, 0.042530821325359104)	(36, 0.044426743644013666)	(38, 0.04626050457517136)	(40, 0.048162643032575614)	(42, 0.04995599906186034)	(44, 0.0516374645936507)	(46, 0.05330338977856684)	(48, 0.05512471843222516)	(50, 0.05668186118902178)	(52, 0.05848454142643103)	(54, 0.060411544438834036)	(56, 0.06241314111623328)	(58, 0.06449554759737847)	(60, 0.06688254487725831)	(62, 0.06966115889836844)	(64, 0.07294638822757807)	(66, 0.07551054546182398)	(68, 0.0788517200397808)	(70, 0.08200641045524701)	(72, 0.08555893375069318)	(74, 0.08892186481427389)	(76, 0.09235938954285086)	(78, 0.09589326442204797)	(80, 0.0995421378681143)	(82, 0.1031754709673064)	(84, 0.10644205188026698)	(86, 0.1097055247238527)	(88, 0.11298453791431265)	(90, 0.11652152086288459)	(92, 0.12002742311770812)	(94, 0.12325981526754541)	(96, 0.12666004316362425)	(98, 0.13017216155719746)	(100, 0.13335482459703724)	(102, 0.13652505535937767)	(104, 0.1395958279017231)	(106, 0.1427070053459415)	(108, 0.14572804877828943)	(110, 0.14889517147125497)	(112, 0.15183851316923183)	(114, 0.15411672802099216)
HI_6hpi_1_R1 - polya	(1, 0.0012480048035880666)	(2, 0.002701080819033327)	(3, 0.003263561857270202)	(4, 0.003913930557731589)	(5, 0.004505707483376635)	(6, 0.005150217006356387)	(7, 0.005970501853785164)	(8, 0.008337609556365345)	(9, 0.011267198297182403)	(10, 0.01383937721161978)	(12, 0.015494594850181419)	(14, 0.017630265042237053)	(16, 0.01962531497473347)	(18, 0.0216057169635258)	(20, 0.023237497892160904)	(22, 0.024904433885685806)	(24, 0.026427820030910674)	(26, 0.027860388925170218)	(28, 0.02967966353321761)	(30, 0.03090716121561996)	(32, 0.032286997512544796)	(34, 0.03367269298695126)	(36, 0.03507889558254345)	(38, 0.036239012723907005)	(40, 0.0374577216400869)	(42, 0.03857096536159738)	(44, 0.039643194840736425)	(46, 0.04053671940668563)	(48, 0.04145075109382054)	(50, 0.04245267044317998)	(52, 0.04358056210839455)	(54, 0.04464400282131114)	(56, 0.045845134205046136)	(58, 0.04690857491796273)	(60, 0.048382158054593706)	(62, 0.05013112253286149)	(64, 0.051856650301202734)	(66, 0.05359096683576643)	(68, 0.055873116464862926)	(70, 0.058207998691294116)	(72, 0.060580965571355935)	(74, 0.06317365160697902)	(76, 0.06569602751282252)	(78, 0.06796352919821491)	(80, 0.07048883469279923)	(82, 0.07309030949464476)	(84, 0.07526699392907185)	(86, 0.07776007394750716)	(88, 0.08016233671497715)	(90, 0.08264662796719002)	(92, 0.08519829976044167)	(94, 0.08771188690006271)	(96, 0.09007606501390207)	(98, 0.0925017644912986)	(100, 0.09499777409847474)	(102, 0.09732093796994265)	(104, 0.09971148238244937)	(106, 0.1020024207777683)	(108, 0.10432558464923623)	(110, 0.1068450309663389)	(112, 0.10900999704580272)	(114, 0.11072087687043987)
HI_6hpi_1_R2 - polya	(1, 0.003216688437417129)	(2, 0.0069079702508466215)	(3, 0.008308313668957176)	(4, 0.009708657087067729)	(5, 0.011015253665472137)	(6, 0.012099201499574448)	(7, 0.013294473705827807)	(8, 0.01613031560693872)	(9, 0.01963410374095592)	(10, 0.0228595809445955)	(12, 0.02487806758701845)	(14, 0.027479542388864)	(16, 0.030083946779450366)	(18, 0.032313363811212144)	(20, 0.032313363811212144)	(22, 0.032313363811212144)	(24, 0.032313363811212144)	(26, 0.032313363811212144)	(28, 0.032313363811212144)	(30, 0.03410334253185136)	(32, 0.03746943999505017)	(34, 0.039651983606958874)	(36, 0.0418374568076084)	(38, 0.043967267822182396)	(40, 0.046012120763272706)	(42, 0.04820345314140387)	(44, 0.05004909404811861)	(46, 0.0517980585263864)	(48, 0.05359975560198889)	(50, 0.055688552374191444)	(52, 0.0575341932809062)	(54, 0.05958490539947814)	(56, 0.06158581450945619)	(58, 0.06348711760224646)	(60, 0.06588645078097563)	(62, 0.06873401103704982)	(64, 0.07144095103356476)	(66, 0.07409515843274503)	(68, 0.07751691808201935)	(70, 0.08119941112922638)	(72, 0.084568438181166)	(74, 0.08826850876081795)	(76, 0.09174300100742697)	(78, 0.09505050669580943)	(80, 0.09888240876879814)	(82, 0.10250631004118885)	(84, 0.10564682917134474)	(86, 0.10910374388550886)	(88, 0.11258116572085872)	(90, 0.1163427576640678)	(92, 0.11980553155571358)	(94, 0.12331810845595323)	(96, 0.12658752949070506)	(98, 0.13015869816576106)	(100, 0.13373865560703949)	(102, 0.13714869690135056)	(104, 0.14059682284929223)	(106, 0.14374613074567055)	(108, 0.14691887535197545)	(110, 0.1503787196548804)	(112, 0.1531325330712484)	(114, 0.15556702131486738)
HI_6hpi_2_R1 - polya	(1, 0.0014127479525551535)	(2, 0.0030701275852064373)	(3, 0.003687822577449167)	(4, 0.004397254449727945)	(5, 0.005063875777989901)	(6, 0.005865044530304728)	(7, 0.006800760706672427)	(8, 0.009503940771734668)	(9, 0.012476215684902654)	(10, 0.015216090501979314)	(12, 0.01672669112657292)	(14, 0.018815234095393634)	(16, 0.020943529712229972)	(18, 0.02308405691307111)	(20, 0.025022762977832944)	(22, 0.02668014261048423)	(24, 0.028361985411145124)	(26, 0.029875643931739936)	(28, 0.03171343942846211)	(30, 0.033003871540969204)	(32, 0.0341261193734102)	(34, 0.035532751533962945)	(36, 0.037015831094545745)	(38, 0.03817783157500236)	(40, 0.039404047871484216)	(42, 0.04054464307993243)	(44, 0.04159961720034698)	(46, 0.0425567386487231)	(48, 0.04364840752115208)	(50, 0.0446269342415366)	(52, 0.045761413657982405)	(54, 0.046978456266460654)	(56, 0.048229135730952125)	(58, 0.04940948358741595)	(60, 0.050917026316008356)	(62, 0.05262944807668127)	(64, 0.05440914354938062)	(66, 0.05612768110205593)	(68, 0.05847308733497758)	(70, 0.061191556880045836)	(72, 0.0637326684570444)	(74, 0.06653370119414509)	(76, 0.06915431806717488)	(78, 0.07172295070818425)	(80, 0.07465547297333662)	(82, 0.07730361091037723)	(84, 0.07998844359943225)	(86, 0.08285063425655698)	(88, 0.0853091826415231)	(90, 0.0877585573384856)	(92, 0.09024462678746253)	(94, 0.09284995418048632)	(96, 0.09540941313349208)	(98, 0.0982807774786204)	(100, 0.10098089964768145)	(102, 0.1033171321925995)	(104, 0.10572369634554518)	(106, 0.10803852361845481)	(108, 0.11072947209951226)	(110, 0.11367728384467063)	(112, 0.11587285317353341)	(114, 0.11763114337422434)
HI_6hpi_2_R2 - polya	(1, 0.0030089696651824046)	(2, 0.006617286946600329)	(3, 0.007846561139083384)	(4, 0.009179803795607296)	(5, 0.010323456900056706)	(6, 0.011460994212503713)	(7, 0.012629110484962736)	(8, 0.015674774902159558)	(9, 0.019026228919476546)	(10, 0.02267124095290889)	(12, 0.024875983969775268)	(14, 0.027774869378914414)	(16, 0.030667638996051155)	(18, 0.033135361069020874)	(20, 0.033135361069020874)	(22, 0.033135361069020874)	(24, 0.033135361069020874)	(26, 0.033135361069020874)	(28, 0.033135361069020874)	(30, 0.035089356613788716)	(32, 0.038783294983240284)	(34, 0.04111341173615593)	(36, 0.04337625477704513)	(38, 0.045366945073827394)	(40, 0.047330114306598836)	(42, 0.049473699403441186)	(44, 0.05142769494820903)	(46, 0.05323491148491919)	(48, 0.05503295433362575)	(50, 0.05689521299835754)	(52, 0.05874218218308333)	(54, 0.06088576727992567)	(56, 0.06302935237676802)	(58, 0.06509649007358032)	(60, 0.06744189630650196)	(62, 0.07049979230770359)	(64, 0.07338033034083553)	(66, 0.07604375775788216)	(68, 0.07927289593515108)	(70, 0.08304633960063389)	(72, 0.08670358321807103)	(74, 0.09044644792354184)	(76, 0.09398749149293333)	(78, 0.09752547716632362)	(80, 0.10138759981584128)	(82, 0.10516104348132409)	(84, 0.10844216589061342)	(86, 0.11202602000402175)	(88, 0.1155059056533892)	(90, 0.11928546511087443)	(92, 0.12276535076024186)	(94, 0.12645011544168983)	(96, 0.12987495896303566)	(98, 0.13376460267656415)	(100, 0.13750746738203495)	(102, 0.1410454530554252)	(104, 0.1445864966248167)	(106, 0.14793489274613247)	(108, 0.15144535735551196)	(110, 0.1549130114208746)	(112, 0.15794644425406662)	(114, 0.16038664526302554)
HI_6hpi_3_R2 - polya	(1, 0.004872286196493711)	(2, 0.007551680543000685)	(3, 0.009417816984876816)	(4, 0.010848279549272137)	(5, 0.01200281532459628)	(6, 0.012866901848266553)	(7, 0.013760033297102209)	(8, 0.015640692201561033)	(9, 0.017702881888303528)	(10, 0.01960169387099072)	(12, 0.021373434306079343)	(14, 0.023555434309129063)	(16, 0.025668452614910985)	(18, 0.027422039971771235)	(20, 0.029219194716379574)	(22, 0.030972782073239828)	(24, 0.03265375711718661)	(26, 0.034207660613534835)	(28, 0.035772455956820076)	(30, 0.037402602381727434)	(32, 0.03893835279984728)	(34, 0.04026352751051807)	(36, 0.04192998009188217)	(38, 0.04357464897937222)	(40, 0.04496517477166513)	(42, 0.04679500505708453)	(44, 0.04857037610781883)	(46, 0.050211414379663206)	(48, 0.05190691188619269)	(50, 0.05350075215464331)	(52, 0.055130898579550676)	(54, 0.056797351160914764)	(56, 0.058500109898735594)	(58, 0.0602609584868872)	(60, 0.06223601339813353)	(62, 0.06442890524812027)	(64, 0.06691587696540655)	(66, 0.06921768728476349)	(68, 0.07155580376057716)	(70, 0.07409360409690288)	(72, 0.07700535784473295)	(74, 0.07986628297352358)	(76, 0.08268727133021184)	(78, 0.08558813323110487)	(80, 0.08877218315236046)	(82, 0.09206152092734056)	(84, 0.09495875221258793)	(86, 0.09783783041960695)	(88, 0.10060799015725576)	(90, 0.10343987036088101)	(92, 0.10640608334339619)	(94, 0.1092307023157301)	(96, 0.11240022977440298)	(98, 0.11562058585211529)	(100, 0.1182019535761891)	(102, 0.12095759085125521)	(104, 0.12391291198683335)	(106, 0.12651243278913551)	(108, 0.12900666573771313)	(110, 0.13152994361145615)	(112, 0.1340895276416559)	(114, 0.13630057256987102)
