gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI031273	68.3011387262653	-0.361619907844562	0.346382086114251	-1.04399136774436	0.296489383463215	0.421716836355633	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI009963	118.086709136335	0.249390103130631	0.238940164293022	1.04373454278199	0.2966082235149	0.421853445249652	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI012508	26.4332891553186	-0.505007837082847	0.48407980991589	-1.04323259664681	0.29684057993392	0.422151470310267	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI025566	9.89444885760082	0.897084342567027	0.8599576069077	1.04317275102994	0.296868291252205	0.422158436150161	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI026590	570.283225222355	0.120076870954285	0.115115382151373	1.04310013753321	0.296901917018818	0.422173810852407	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI003902	3.67883063378235	-2.03800427509611	1.95426346251381	-1.04285031889947	0.297017622172162	0.422305885385775	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI013707	636.349327689664	-0.122438878721569	0.117499566356691	-1.04203685611812	0.29739459175706	0.42280935941246	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI025130	46.2808144388877	-0.393782171543565	0.377914447661753	-1.04198760851825	0.297417424019021	0.42280935941246	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI007106	7.76306523938075	-0.956072074402296	0.917776837845241	-1.04172608740809	0.297538690544021	0.422949260141121	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI023977	307.181424377226	0.161648291365509	0.155182708164736	1.04166432766407	0.297567333167954	0.422957485234886	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI012962	30.5210256371409	1.12951641982734	1.08459991886835	1.04141296728646	0.29768392683364	0.423068611204203	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014791	539.644482753505	0.114409278786223	0.109861326977659	1.04139720440013	0.297691239475273	0.423068611204203	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI001636	196.297792565662	0.189767549930625	0.182239394392807	1.04130915581069	0.297732088757058	0.423087112279389	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017190	244.350994139411	0.179191267521609	0.172089051691807	1.04127058496737	0.297749984502269	0.423087112279389	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006566	41.2212039620458	-0.571173468685408	0.548666363849534	-1.04102147738374	0.297865580459592	0.423173001989945	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI027540	1825.86962022007	0.076634386199901	0.0736156469762279	1.041006760759	0.297872410504435	0.423173001989945	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI009739	18.2068018157465	-0.598142772926195	0.574588941803799	-1.0409924894281	0.297879033986545	0.423173001989945	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI012376	38.5286817152164	-0.453195853518546	0.43550144090835	-1.04062997489351	0.298047313977709	0.423379561307861	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI018528	506.703488856924	0.115320290388037	0.110850830617454	1.04031958755462	0.298191446873345	0.423551790327852	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI020580	75.4181448218293	-0.285216865738453	0.274216691898143	-1.040114895137	0.298286524258771	0.423654319702859	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI015422	51.7486458700983	0.365358623191792	0.351332897135297	1.03992147097769	0.298376386265133	0.423749426541541	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
