gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI030690	39.0524292060702	-4.03219418715923	1.14409866195154	-3.52434131885212	0.000424537006853834	0.0368532236530036	-3.52434131885212	-0.0917644808421331	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI017301	136.603549576597	-1.86819256371346	0.530529750221385	-3.52137191728435	0.000429320012680404	0.0371027895403131	-3.52137191728435	-1.51469504135431	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI003379	282.645515165022	-1.41584053442772	0.402354217266184	-3.51889075265004	0.000433355118799934	0.0372857977215253	-3.51889075265004	-1.14305771913312	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI030689	168.276791099068	-1.49712121452028	0.425855621175177	-3.51556053290756	0.000438826709399727	0.0375223053951341	-3.51556053290756	-1.20776186201353	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI003414	1016.29489669665	-0.608173285218738	0.173129775950831	-3.51281737574397	0.000443382116896094	0.0376487566071814	-3.51281737574397	-0.511922774811841	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI017954	472.955002369385	-0.846025597742071	0.241121490918617	-3.5087108764918	0.000450284111283569	0.0380685849735174	-3.5087108764918	-0.695786195848775	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI001129	405.183191097779	1.05936680769701	0.302237894718513	3.50507605501832	0.000456476861280558	0.0384250760502184	3.50507605501832	0.861219593761195	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI017559	23.608422180028	2.76766703574257	0.791040089166396	3.49876962450684	0.000467410242781992	0.0388904992701055	3.49876962450684	0.174151038329611	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI017862	321.775620023873	-2.56254810275721	0.732611470224313	-3.49782689311785	0.000469065481277442	0.0388904992701055	-3.49782689311785	-2.04562258150288	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI029020	833.62791130788	-0.704909390242629	0.201531067358828	-3.49777034122254	0.000469164948191051	0.0388904992701055	-3.49777034122254	-0.586112074763429	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI014400	2121.94475206425	-0.875612335036969	0.250368624530447	-3.49729258879435	0.00047000603386345	0.0388904992701055	-3.49729258879435	-0.722003528880667	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010009	511.170239500672	-0.898573601329388	0.257630148710627	-3.48784335151192	0.000486933272880486	0.0399031315742185	-3.48784335151192	-0.732607531348894	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI022018	69.3905217013847	1.63238451721972	0.468170185725656	3.48673317308651	0.000488958932799396	0.0399031315742185	3.48673317308651	1.30690975159735	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI016846	71.3871048958334	-2.10118439707094	0.602723183809661	-3.4861516090851	0.000490023203269557	0.0399031315742185	-3.4861516090851	-1.67576649244093	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI030761	1984.87642032696	-0.915015563003086	0.262489171866155	-3.48591736755395	0.000490452478592863	0.0399031315742185	-3.48591736755395	-0.744866875846787	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI014006	413.131824934651	0.797305880356284	0.229020336649234	3.48137589884618	0.000498844882729067	0.0402714398320017	3.48137589884618	0.643831661125147	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI021309	395.056155046895	1.64921595565161	0.473838404230024	3.48054514140014	0.000500394493472223	0.0402714398320017	3.48054514140014	1.31526093470994	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
